material,ethanol_pct,temperature_C,water_ppm,chloride_mg_L,dissolved_O2_ppm,TAN_mgKOH_g,conductivity_uS_cm,flow_velocity_m_s,exposure_hours,surface_roughness_Ra_um,inhibitor_present,pH,corrosion_rate_mm_per_y
Al6061,20,40.76,625.4,23.42,2.56,0.097,93.01,1.078,124,0.945,0,6.18,0.01025
SS304,20,68.22,523.2,16.27,7.41,0.234,77.22,0.688,81,1.854,0,6.3,0.00125
LowCarbonSteel,20,48.36,523.9,9.85,2.35,0.178,55.52,0.37,69,0.932,0,7.13,0.04473
Al6061,20,20.67,381.9,3.17,3.12,0.194,75.2,0.308,263,1.731,1,6.41,0.01231
LowCarbonSteel,20,22.91,474.7,22.15,2.92,0.218,89.86,0.558,294,0.713,1,6.41,0.0462
Brass,20,21.22,290.4,8.81,0.98,0.189,94.95,0.939,230,1.033,0,5.85,0.02487
LowCarbonSteel,20,69.24,347.7,8.69,3.23,0.201,81.63,0.656,58,0.421,1,6.76,0.0183
Brass,20,23.75,214.9,1.68,0.6,0.216,91.75,0.676,231,0.872,0,6.8,0.03245
LowCarbonSteel,20,35.7,457.1,4.91,2.11,0.098,72.98,0.862,65,0.992,0,6.9,0.04546
Al6061,20,34.34,541.6,14.33,5.27,0.132,94.68,0.214,230,1.296,0,6.4,0.01143
Copper,20,52.05,630.4,6.05,3.99,0.256,97.96,0.169,119,0.51,0,6.4,0.01348
SS304,20,43.35,510.3,1.36,0.89,0.15,63.86,0.176,277,1.069,0,6.99,0.0028
ZnCoatedSteel,20,24.49,565.7,41.25,7.47,0.151,63.23,0.416,273,0.412,0,6.53,0.02831
Brass,20,19.3,142.6,14.75,6.45,0.206,70.74,0.362,311,0.915,0,6.16,0.03137
Al6061,20,60.46,492.2,18.18,1.67,0.196,73.19,0.363,335,0.999,1,6.73,0.00328
LowCarbonSteel,20,31.9,653.5,1.02,2.24,0.188,89.86,0.847,121,1.57,0,5.97,0.04659
Al6061,20,68.3,512.2,3.39,7.32,0.193,77.04,0.663,153,1.319,0,6.82,0.00323
Brass,20,56.01,469.1,2.11,0.5,0.174,78.79,0.352,291,1.3,0,6.27,0.00755
LowCarbonSteel,20,16.47,600,0.86,7.61,0.197,75.93,0.707,60,1.024,0,6.1,0.07932
LowCarbonSteel,20,37.92,503.4,19.15,7.71,0.203,80.55,1.165,42,0.689,0,5.78,0.05771
Brass,20,52.28,614.4,4.17,3.2,0.16,81.75,0.626,247,2.199,1,5.9,0.00726
Brass,20,21.04,268.7,15.66,1.44,0.167,50.84,0.472,220,0.145,1,6.31,0.01801
Brass,20,29.17,546.5,31.62,6.69,0.149,83.76,0.706,269,1.307,0,5.91,0.02369
Copper,20,37.21,460.5,3.78,6.48,0.109,85.92,0.704,120,1.067,1,6.56,0.01741
ZnCoatedSteel,20,32.6,408.3,4.32,7.18,0.134,97.84,1.183,46,1.16,0,6.3,0.01788
ZnCoatedSteel,20,65.33,539.9,4.23,3.92,0.166,90.71,0.349,124,1.065,0,6.2,0.00616
Al6061,20,62.82,437.1,13.73,2.83,0.089,60.47,0.136,91,1.363,0,6.57,0.00579
Copper,20,61.27,552.6,5.82,2.43,0.156,84.73,0.516,40,1.334,0,6.75,0.01311
Copper,20,52.64,311,2.43,5.15,0.216,92.02,0.056,115,0.466,0,6.34,0.01411
LowCarbonSteel,20,42,358.9,8.57,7.83,0.096,73.99,0.804,183,1.061,0,6.08,0.03959
Al6061,20,52.94,481.1,6.43,1.27,0.139,100.29,0.756,192,0.608,0,6.57,0.0088
Al6061,20,60.96,456.2,0.61,0.99,0.157,83.78,0.862,180,1.604,0,6.82,0.00299
SS304,20,17.31,468.2,11.12,2.95,0.137,71.57,0.331,198,0.902,1,6.4,0.00692
LowCarbonSteel,20,49.92,244.7,7.89,6.11,0.133,74.55,0.416,47,1.258,0,5.95,0.03149
Al6061,20,49.79,575.1,14.75,3.8,0.126,78.03,0.885,121,0.468,0,6.11,0.00574
Al6061,20,68.4,304.1,7.11,1.28,0.131,75.94,1.649,137,0.868,1,6.22,0.00327
Copper,20,33.61,504.3,9.79,1.84,0.135,86.73,0.423,210,1.505,0,5.9,0.03456
Brass,20,24.16,422.7,5.66,4.5,0.134,80.1,0.259,232,1.276,0,6.76,0.02819
ZnCoatedSteel,20,23.34,430.7,7.67,3.78,0.168,70.63,0.413,310,1.25,1,6.91,0.02996
Al6061,20,44.51,442.7,4.18,5.67,0.091,78.55,0.661,47,1.138,0,6.99,0.01306
SS304,20,34.3,307.4,29.77,7.36,0.159,73.59,0.209,90,0.527,0,6.2,0.00278
Copper,20,56.16,416.6,4.43,1.07,0.184,78.36,0.367,313,1.985,0,6.31,0.0097
Copper,20,24.13,221.4,12.8,1.52,0.112,90.05,0.078,120,1.418,0,6.33,0.04107
Al6061,20,65.04,329.1,14.32,7.63,0.116,82.39,0.476,267,0.453,1,6.34,0.00331
Brass,20,59.53,327.7,3.79,4.52,0.234,81.61,0.819,109,0.698,0,6.12,0.0071
LowCarbonSteel,20,58.55,466.4,14.47,4.29,0.214,67.25,0.962,303,2.172,1,6.26,0.02218
ZnCoatedSteel,20,27.92,562.6,0.97,5.74,0.123,93.7,0.18,291,0.768,0,7.56,0.02403
Al6061,20,62.41,325.7,2.98,5.55,0.164,88.63,0.119,190,1.653,1,6.29,0.00488
SS304,20,45.81,407.7,0.99,5.07,0.172,80.17,0.74,153,0.896,1,5.72,0.00139
ZnCoatedSteel,20,26.57,474.8,20.63,0.66,0.153,59.86,0.242,157,2.39,0,7.17,0.02391
LowCarbonSteel,20,57.35,476.9,2.23,1.04,0.219,68.52,0.107,162,1.237,0,6.54,0.02694
Brass,20,39.26,503.6,3.45,7.93,0.143,69.18,0.866,93,0.358,1,6.63,0.02153
Al6061,20,54.1,426.9,9.54,6.7,0.166,75.37,0.837,50,1.253,0,6.31,0.00628
Copper,20,30.23,402,4.55,2.08,0.16,73.72,0.66,196,1.387,0,6.33,0.03753
Al6061,20,23.07,556.2,2.44,4.87,0.12,92.02,0.057,97,1.976,0,5.77,0.01254
Al6061,20,16.3,441.3,4.71,4.17,0.136,85.18,0.24,46,0.512,1,5.69,0.00959
Brass,20,63.66,384.7,0.85,1.01,0.09,64.44,0.392,223,0.703,1,6.89,0.00842
ZnCoatedSteel,20,46.79,340.2,12.38,4.07,0.182,71.82,0.443,275,1.751,0,6.38,0.00929
SS304,20,48.55,591.7,19.65,5.81,0.128,97.4,0.364,250,1.564,1,6.37,0.00148
SS304,20,58.01,597.7,10.52,7.99,0.156,84.3,0.562,49,0.673,0,6.66,0.00195
SS304,20,55.23,496.8,1,1.54,0.175,89.57,1.168,174,1.11,1,6.73,0.00141
ZnCoatedSteel,20,17.33,477.5,6.58,5.56,0.118,86.41,0.746,297,1.709,0,6.02,0.03011
Brass,20,27.74,456.7,1.75,5.88,0.145,84.58,0.712,54,0.567,0,6.42,0.02679
LowCarbonSteel,20,64.82,546,2.71,2.81,0.126,95.88,0.382,123,0.604,0,6.42,0.02268
Al6061,20,43.35,572.2,1.86,1.79,0.181,85.37,0.12,120,1.372,0,6.32,0.01022
SS304,20,20.52,382,3.19,0.57,0.187,66.49,0.64,302,1,0,6.65,0.00496
SS304,20,50.54,321.7,1.7,6.1,0.16,70.47,0.813,324,1.425,1,6.46,0.00139
SS304,20,50.39,497.9,20.4,4.29,0.211,70.39,0.591,300,1.137,0,5.95,0.00173
ZnCoatedSteel,20,51.97,456.7,5.05,1.18,0.163,78.54,0.477,27,1.314,0,6.55,0.00601
ZnCoatedSteel,20,61.28,315.9,4.67,7.62,0.189,88.71,0.167,300,1.157,1,7.16,0.00645
Al6061,20,18.8,347.5,9.92,3.91,0.193,84.98,1,133,1.478,0,6.92,0.02331
Al6061,20,54.87,611.7,13.07,5.92,0.191,81.35,0.598,120,0.502,0,6.54,0.00563
Al6061,20,37.19,442.3,10.34,2.9,0.149,79.68,0.546,42,1.503,0,6.57,0.01689
Brass,20,44.78,522.2,10.73,6.11,0.185,82.57,1.113,276,1.3,0,6.04,0.01574
Brass,20,24.98,551.5,9.4,1.19,0.133,80.84,0.701,211,1.253,0,6.31,0.03086
LowCarbonSteel,20,15.59,739.6,4.12,3.06,0.18,60.74,0.512,194,1.212,0,6.7,0.11365
Al6061,20,24.33,623.9,1.14,1.53,0.056,67.49,0.035,134,1.355,1,6.13,0.01116
Copper,20,31.4,564.3,3.16,2.2,0.093,89.17,0.089,175,0.982,1,7.05,0.01977
ZnCoatedSteel,20,29.61,392.5,6.9,6.9,0.157,80.35,0.1,37,0.749,0,5.91,0.01967
ZnCoatedSteel,20,69.17,262.9,16.72,0.95,0.193,92.84,0.078,332,1.886,1,6.2,0.00602
Al6061,20,31.81,603.3,5.73,3.9,0.223,91.41,0.309,57,1.527,0,6.26,0.01505
Al6061,20,48.17,563.2,10.81,4.16,0.191,97.95,0.489,225,0.241,1,6.62,0.00516
SS304,20,39.36,321.6,10.51,3.84,0.167,67.69,0.468,308,1.259,0,6.54,0.00235
SS304,20,63.92,486.5,13.28,7.33,0.238,77.67,1.029,62,1.55,0,6.97,0.00104
Copper,20,31.07,349.7,7.11,4.08,0.172,91.48,0.461,86,1.568,1,6.29,0.02499
LowCarbonSteel,20,29.49,252.2,20.09,7.28,0.2,94.99,0.58,142,1.423,0,5.77,0.05411
Copper,20,44.04,346.5,1.26,1.8,0.139,80.14,0.328,140,0.281,0,5.93,0.01913
Al6061,20,59.84,548,8.28,5.28,0.16,74.01,0.356,146,1.206,0,6.81,0.00879
Al6061,20,29.24,584.8,17.49,1.8,0.162,59.71,0.425,69,0.581,0,6.67,0.01522
Brass,20,59.16,330.2,12.13,5.34,0.14,71.54,0.21,122,1.193,0,7.16,0.01808
SS304,20,43.05,395.9,3.72,4.86,0.14,94.69,0.396,329,0.323,1,5.82,0.00189
SS304,20,30.83,425.2,7.65,5.5,0.191,71.76,1.61,62,1.306,0,6.71,0.00449
Al6061,20,19.89,687,5.58,7.38,0.18,79.95,0.895,208,0.94,1,6.3,0.01032
ZnCoatedSteel,20,68.24,404.4,20.83,3.41,0.192,79.16,0.923,192,0.972,1,6,0.00481
LowCarbonSteel,20,55.44,502,3.71,3.87,0.197,80.65,0.66,330,0.05,0,7.1,0.02414
Al6061,20,67.61,385.7,29.79,7.17,0.165,77.11,1.301,318,1.086,0,5.74,0.00341
Copper,20,46.63,458.8,16.26,1.3,0.137,88.8,1.189,158,1.52,0,6.78,0.02193
ZnCoatedSteel,20,63.13,203.6,4.22,5.96,0.094,71.34,0.415,53,0.662,0,5.5,0.0064
Brass,20,58.54,453.7,4.53,6.57,0.123,75.56,0.119,105,1.093,0,5.54,0.00717
LowCarbonSteel,20,45.91,496.6,1.74,7.44,0.232,82.65,0.703,179,2.044,0,6.98,0.04016
Copper,20,25.47,412.9,2.42,4.07,0.193,74.93,0.371,59,1.028,1,6.49,0.0324
Copper,20,66.96,553.1,6.26,4.4,0.182,104.13,0.905,200,0.873,1,6.41,0.00989
Brass,20,21.75,584.4,7.76,1.18,0.134,88.94,1.126,233,0.795,0,6.14,0.02266
ZnCoatedSteel,20,58.78,394.2,5.03,0.88,0.196,78.41,0.894,114,1.055,0,6.05,0.00737
Brass,20,39.71,526.6,12.42,7.36,0.165,73.65,1.237,43,1.179,0,6.46,0.01285
ZnCoatedSteel,20,58.09,287.9,12.07,5.53,0.224,94.02,0.494,142,1.318,1,6.12,0.00536
Al6061,20,21.49,341.7,7.61,4.27,0.164,75.5,0.083,205,0.4,1,6.69,0.01522
Al6061,20,23.55,410.5,16.46,4.14,0.185,88.73,0.011,29,1.025,0,6.4,0.02069
LowCarbonSteel,20,65.23,667.8,11.57,5.64,0.154,78.06,0.381,226,0.81,0,6.1,0.0207
ZnCoatedSteel,20,62.24,464.8,18.61,2.44,0.1,90.25,1.252,48,1.928,0,6.9,0.01073
Brass,20,45.17,444.3,15.28,5.33,0.145,72.77,1.139,45,0.562,0,6.07,0.01606
Copper,20,42.2,169,9.73,7.48,0.151,78.71,0.241,147,1.879,0,6.21,0.02982
SS304,20,23.74,494.8,7.75,5.56,0.164,87.04,0.003,76,1.304,0,6.45,0.00572
Al6061,20,49.22,367,3.94,2.02,0.132,72.33,0.43,173,0.531,0,6.34,0.00799
ZnCoatedSteel,20,45.85,343,11.38,4.96,0.124,74.29,0.763,81,1.609,0,6.53,0.0206
Brass,20,35.83,336.3,22.69,2.95,0.217,93.68,0.419,278,0.686,1,6.32,0.02439
Brass,20,39.98,543.7,2.44,6.02,0.187,82.38,0.667,185,0.946,0,6.22,0.01285
Al6061,20,50.35,238.6,1.98,3.11,0.255,80.05,0.518,118,1.743,1,6.51,0.00374
ZnCoatedSteel,20,65.99,420.3,19.3,2.46,0.153,86.97,0.456,282,1.807,1,6.45,0.00465
Al6061,20,25.07,506.9,20.61,4.03,0.166,69.78,1.303,297,1.206,1,7.03,0.01567
SS304,20,60.76,364.5,1.91,7.21,0.201,71.13,0.463,95,0.903,0,6.29,0.00164
LowCarbonSteel,20,29.2,255.6,2.53,6.08,0.09,83.54,0.279,152,0.259,0,6.48,0.05455
Copper,20,44.7,369.6,5.29,1.46,0.058,69.73,0.328,128,1.339,0,6.47,0.01941
ZnCoatedSteel,20,53.44,444.5,5,2.56,0.238,90.9,0.381,144,0.884,0,5.79,0.00541
ZnCoatedSteel,20,33.71,429.3,6.88,2.67,0.26,76.29,0.687,324,0.05,0,6.19,0.01854
Brass,20,54.9,274.8,11.34,7.68,0.131,85.19,0.442,245,1.37,0,7.32,0.01412
Al6061,20,15.58,374.4,10.6,6.98,0.105,75.73,0.544,116,0.745,0,6.84,0.03177
Brass,20,61.72,419.8,7.23,4.64,0.11,107.34,0.751,231,2.288,1,6.3,0.0068
Brass,20,31.37,261.6,3.69,0.88,0.142,80.21,0.279,316,1.393,1,6.37,0.01302
LowCarbonSteel,20,53.17,484.3,5.81,0.71,0.195,73.32,0.157,48,0.05,0,6.34,0.02332
Brass,20,67.72,619.8,4.21,7.78,0.137,73.85,0.194,208,1.024,0,6.7,0.01084
SS304,20,21.24,513.2,12.68,6.37,0.217,74,0.517,251,2.666,0,6.81,0.00623
Brass,20,68.48,448.1,2.75,5.2,0.176,72.16,0.334,263,1.132,0,6.68,0.00725
LowCarbonSteel,20,25.75,511.6,0.7,3.25,0.211,91.3,0.12,313,1.172,1,6.76,0.03298
Al6061,20,55.34,320.2,33.76,1.68,0.131,78.32,0.574,196,1.716,0,6.69,0.00845
LowCarbonSteel,20,37.46,395.5,3.1,1.27,0.199,86.49,0.348,327,1.105,0,5.96,0.04348
LowCarbonSteel,20,33.17,381.4,0.23,5.08,0.213,95.55,0.556,227,1.425,1,6.59,0.04721
Copper,20,27.68,572.6,2.48,4.08,0.243,90.63,0.317,234,0.566,1,6.56,0.01799
SS304,20,68.36,474.4,2.02,3.9,0.218,75.26,0.186,207,0.731,0,7.13,0.00106
Al6061,20,42.46,371.1,9.13,4.16,0.111,101.65,0.964,218,1.321,0,6.65,0.01006
Copper,20,36.58,560.3,1.25,5.25,0.125,87.33,0.514,284,0.458,1,6.67,0.02286
Brass,20,21.47,346.5,6.68,0.79,0.239,92,0.748,185,0.506,1,6.19,0.02549
ZnCoatedSteel,20,35.32,514.1,22.21,6.01,0.146,81.13,1.258,255,1.792,0,5.83,0.01694
Brass,20,31.43,492.8,6.42,1.05,0.132,63.91,0.447,207,0.852,1,5.71,0.01335
Copper,20,48.74,606.6,4.45,7.7,0.173,73.09,0.291,207,0.46,1,6.65,0.01509
LowCarbonSteel,20,49.58,454.8,11.26,1.52,0.112,75.59,0.251,324,1.615,1,6.73,0.02251
SS304,20,61.23,245.9,4.18,1.3,0.163,85.92,0.169,256,1.247,0,6.94,0.00128
SS304,20,66.31,325.4,0.79,4.31,0.178,107.27,0.005,37,1.375,1,5.57,0.00072
Al6061,20,15.88,369.6,23.53,4.59,0.135,90.91,1.429,155,1.284,0,6.82,0.02863
LowCarbonSteel,20,30.97,525.2,1.76,5.14,0.112,72.11,0.668,113,1.527,0,7.01,0.06412
Brass,20,51.19,544.3,1.43,6.16,0.184,99.04,0.143,76,1.353,1,6.1,0.00617
Copper,20,36.2,499,2.64,1.5,0.163,71.56,0.861,193,0.213,0,6.06,0.02245
LowCarbonSteel,20,49.16,286.2,14.94,7.76,0.065,77.39,0.795,46,1.162,1,6.89,0.02402
Brass,20,33.81,466.3,30.08,2.35,0.15,92.76,0.438,288,0.947,0,6.28,0.01866
Brass,20,56.3,558.4,3.05,3.08,0.173,89.44,0.477,254,1.089,0,6.66,0.01254
ZnCoatedSteel,20,48.02,398.8,13.17,0.9,0.205,89.31,0.915,81,0.681,1,6,0.00792
Brass,20,24.44,509,11.53,4.48,0.174,77.63,0.759,174,1.846,1,6.39,0.0191
Brass,20,54.27,343.7,16.18,1.42,0.152,67.11,1.142,101,1.233,0,6.21,0.01027
ZnCoatedSteel,20,63.78,556.4,13.84,3.8,0.236,70.92,0.592,186,0.864,0,6.27,0.00996
SS304,20,68.78,551,2.97,1.5,0.164,76.3,0.726,208,0.653,0,6.49,0.00132
Al6061,20,59.98,478.1,8.62,4.83,0.156,76.56,0.741,245,0.05,0,6.85,0.00542
ZnCoatedSteel,20,29.91,446.6,0.72,6.85,0.124,70.65,1.193,47,0.916,0,6.39,0.01903
ZnCoatedSteel,20,50.28,876.6,27.46,5.64,0.152,77.22,0.895,332,1.618,0,7.15,0.01081
Copper,20,61.27,471.8,13.13,1.06,0.135,76.5,0.546,188,0.856,1,5.88,0.00736
Brass,20,18.64,372.8,8.01,3.94,0.173,88.3,0.909,33,1.112,0,7.19,0.04337
LowCarbonSteel,20,67.45,657.5,4.31,5.31,0.201,87.09,0.291,62,0.62,1,5.69,0.01425
Brass,20,40.92,489.4,9.56,4.9,0.12,89.61,0.358,65,0.983,1,5.74,0.01352
Copper,20,66.26,238.1,19.24,1.3,0.126,83.53,1.205,177,1.435,0,5.78,0.01078
LowCarbonSteel,20,15.27,617.2,1.47,0.96,0.163,81.51,0.909,107,0.888,1,6.26,0.08495
LowCarbonSteel,20,69.25,373.7,3.85,3.31,0.22,69.19,1.397,288,0.971,1,6.74,0.01838
LowCarbonSteel,20,54.33,499.2,0.93,3.89,0.192,73.07,0.011,302,1.536,1,7.28,0.0251
Brass,20,17.35,543.8,3.8,6.8,0.155,65.94,0.073,52,1.842,1,6.61,0.03185
SS304,20,63.62,423.7,16.44,7.05,0.201,72.65,1.221,35,1.495,1,6.7,0.00062
Brass,20,29.92,616.1,7.95,7.68,0.07,78.83,0.024,179,1.393,0,6.41,0.02407
Al6061,20,45.39,246.5,3,7.43,0.159,82.01,0.648,100,1.079,0,6.55,0.01334
SS304,20,63.64,241.3,3.3,6.85,0.194,89.43,0.028,320,1.232,0,6.78,0.00109
LowCarbonSteel,20,16.72,565.4,12.7,7.01,0.188,75.39,0.705,275,1.568,0,5.73,0.10629
Al6061,20,45.5,298.3,3.27,0.53,0.186,84.37,0.031,61,0.05,1,6.65,0.00569
SS304,20,56.52,424.9,3.2,4.37,0.123,84.4,0.646,107,1.569,0,6.15,0.00112
ZnCoatedSteel,20,28.13,344,7.87,1.32,0.173,87.47,0.529,219,0.863,0,5.52,0.02068
LowCarbonSteel,20,33.43,642.1,5.29,7.97,0.165,88.94,0.195,215,0.542,0,6.14,0.03982
Al6061,20,59.31,605.2,25.65,3.27,0.07,79.92,0.433,79,1.212,0,6.88,0.00688
Brass,20,36.57,434.5,8.07,3.15,0.194,81.64,0.029,330,0.146,1,6.7,0.01177
LowCarbonSteel,20,29.93,427,14.66,4.51,0.201,82.03,0.158,225,0.117,0,6.76,0.06987
Copper,20,51.74,300.6,2.51,7.11,0.142,78.41,1.185,34,1.713,0,7,0.01966
Al6061,20,57,424,2.48,4.33,0.124,81.53,0.473,106,1.865,0,6.3,0.00629
Copper,20,34.86,322.4,11.71,4.04,0.181,90.4,0.592,276,0.807,0,6.31,0.03026
Brass,20,38.2,442,7.96,2.91,0.175,89.26,0.477,46,0.326,0,6.06,0.02208
LowCarbonSteel,20,28.21,282.8,8.18,5.33,0.126,76.89,0.635,311,2.051,0,5.91,0.06841
LowCarbonSteel,20,21.07,523.8,5,0.88,0.184,77.28,0.135,45,0.94,0,6.16,0.04914
Al6061,20,58.7,477.3,3.98,4.66,0.136,75.31,0.437,335,1.255,0,6.63,0.00444
ZnCoatedSteel,20,62.85,448.6,9.14,5.76,0.207,71.18,0.348,58,1.701,1,6.25,0.0049
LowCarbonSteel,20,28.13,374.3,9.29,6.92,0.252,78.9,0.708,289,1.223,1,6.45,0.043
LowCarbonSteel,20,30.29,287.7,0.74,7.52,0.161,101.95,0.909,44,2.262,0,5.91,0.06009
SS304,20,56.74,258.5,9.91,7.76,0.083,77,0.108,237,0.181,0,7.02,0.00201
Copper,20,40.05,371.1,2.28,7.56,0.153,88.93,0.314,159,1.233,0,6.5,0.01961
Copper,20,61.77,561.4,4.24,1.38,0.167,62.17,0.348,150,0.621,1,6.2,0.01102
Copper,20,17.84,518.3,1.29,7.03,0.151,57.78,1.166,81,1.385,0,6.35,0.05999
LowCarbonSteel,20,46.27,284.8,4.81,5.79,0.199,94.33,0.761,308,1.42,1,5.87,0.02106
LowCarbonSteel,20,32.59,437,1.78,4.56,0.096,98.01,0.92,283,2.296,0,6.26,0.04545
SS304,20,16.79,505.2,8.59,1.91,0.058,77.92,1.094,101,1.203,1,7.04,0.00406
LowCarbonSteel,20,21.87,361.4,3.79,3.03,0.178,87.4,0.169,46,1.184,1,6.79,0.04355
ZnCoatedSteel,20,34.26,536,10.82,1.59,0.143,70.67,0.145,247,0.725,0,6.14,0.01099
Copper,20,20.85,548.2,8.73,3.99,0.14,87.01,1.098,130,1.152,0,6.29,0.0298
Copper,20,30.51,310.9,13.21,1.73,0.155,84.4,0.737,89,2.685,0,6.56,0.03765
Al6061,20,29.09,405.1,7.21,5.18,0.227,89.51,0.345,217,0.144,0,7.2,0.01684
SS304,20,66.54,325.5,7.15,2.79,0.17,66.97,1.425,232,2.27,0,6.39,0.00097
Copper,20,57.08,713.6,5.56,5.27,0.063,68,0.385,207,0.528,0,6.73,0.02294
ZnCoatedSteel,20,52.64,410.5,9.06,6.77,0.154,70.21,0.043,173,1.675,1,6.8,0.00997
Copper,20,59.9,542.2,12.8,5.29,0.095,100.86,0.031,97,0.734,0,6.3,0.01345
SS304,20,43.88,430.4,1.23,0.91,0.123,73.46,0.372,200,0.808,0,6.53,0.0018
Copper,20,40.03,411.1,1.11,1.33,0.15,82.62,0.433,102,1.037,0,6.57,0.03158
SS304,20,25.25,507.4,8.46,7.75,0.136,78.04,0.639,283,0.833,0,6.51,0.00615
LowCarbonSteel,20,45.77,518.1,10.45,1.88,0.134,69.05,0.291,49,0.05,0,6.84,0.04412
SS304,20,65.67,614.7,0.58,1.29,0.129,75.06,0.278,231,0.497,1,6.23,0.00074
LowCarbonSteel,20,52.78,512.3,5.3,7.14,0.175,65.58,0.525,93,1.166,0,6.31,0.0312
Brass,20,60.36,428.5,6.06,2.35,0.228,92.45,0.716,158,1.642,1,6.17,0.00638
ZnCoatedSteel,20,29.49,452.4,9.43,2.4,0.169,88.19,0.611,256,1.463,0,6.66,0.0221
Brass,20,45.01,511.9,1.39,5.56,0.138,59.02,0.229,42,0.631,0,5.82,0.01553
Brass,20,24.99,590.5,6.53,1.07,0.257,75.58,0.701,172,0.746,1,6.05,0.01507
Copper,20,58.01,500.1,15.26,0.57,0.162,88.2,0.9,242,1.182,0,5.97,0.01439
LowCarbonSteel,20,66.56,474.7,6.44,4.85,0.174,88.49,0.896,327,0.289,1,6.95,0.01776
Al6061,20,64.46,572,6.58,5.9,0.209,73.78,0.155,143,1.473,0,6.14,0.00476
Al6061,20,44.89,313.5,15.13,0.95,0.203,73.5,0.204,293,0.607,0,6.55,0.0098
Brass,20,25.27,682.3,3.53,7.35,0.151,81.33,0.644,88,0.05,1,5.83,0.01678
SS304,20,36.51,448.8,0.82,3.82,0.179,77.54,1.199,101,0.859,1,6.32,0.00241
SS304,20,62.95,619.8,1.67,4.46,0.132,88.39,0.287,56,1.199,0,6.79,0.00112
LowCarbonSteel,20,47.06,529,0.47,1.02,0.139,70.96,0.82,76,0.957,1,5.93,0.02061
SS304,20,27.41,574.5,4.9,5.61,0.171,78.49,0.482,304,1.22,0,5.69,0.00317
SS304,20,38.03,466.9,19.35,5.83,0.182,76.68,0.722,104,1.222,0,6.02,0.00218
Al6061,20,34.23,693,14.71,7.91,0.174,90.62,0.557,267,1.328,0,6.46,0.01497
Brass,20,34.21,557.6,13.26,4.73,0.141,75.74,0.008,87,1.804,1,6.04,0.02339
LowCarbonSteel,20,50.05,501.7,6.94,4.23,0.115,86.45,0.471,290,1.843,0,5.5,0.02779
Copper,20,51.75,277.1,9.48,3.04,0.21,85.83,0.477,38,1.217,0,6.23,0.01665
LowCarbonSteel,20,27.36,370.8,3.26,3.18,0.24,75.51,0.157,163,0.524,1,6.12,0.05081
Al6061,20,33.01,527.9,5.02,4.25,0.123,81.16,0.748,119,1.656,0,5.77,0.01414
Al6061,20,23.42,240.2,6.02,5.19,0.162,80.37,0.645,309,2.769,1,5.91,0.00877
SS304,20,41.62,119.3,7.53,2.96,0.188,88.75,0.708,190,1.263,0,6.39,0.00321
ZnCoatedSteel,20,46.36,508.6,1.17,1.49,0.131,96.9,0.217,70,0.489,0,6.64,0.01143
LowCarbonSteel,20,63.36,291.3,3.02,3.22,0.184,64.38,0.623,249,1.215,0,6.25,0.01826
Brass,20,45.26,449.1,5.11,1.95,0.17,77.28,0.349,323,0.493,0,6.46,0.02022
SS304,20,46.05,351.2,11.64,6.52,0.177,73.36,0.542,208,0.415,0,6.04,0.002
ZnCoatedSteel,20,65.12,466.4,6.57,4.44,0.204,72.16,0.66,160,1.788,1,6.66,0.00441
Copper,20,66.28,470.1,8.73,1.53,0.119,76.17,0.522,138,1.945,0,6.46,0.01444
Al6061,20,54.32,440.5,14.65,1.49,0.123,85.19,0.067,125,1.561,1,6.23,0.00391
Copper,20,22.18,256.1,2.16,5.55,0.171,88.03,0.378,26,1.288,0,6.76,0.04173
SS304,20,20.31,452.6,18.33,3.71,0.147,86.3,0.903,254,1.316,0,6.24,0.00812
Al6061,20,61.95,477.5,5.54,3.16,0.154,91.2,0.516,28,0.769,0,5.91,0.00372
SS304,20,41.79,413.2,12.31,5,0.161,61.9,0.782,199,0.05,0,6,0.00239
SS304,20,22.62,526.9,15.16,5.76,0.11,90.39,0.391,286,0.585,0,6.36,0.00409
SS304,20,64.61,302.7,4.82,7.93,0.158,84.9,0.46,117,0.645,0,6.22,0.00091
SS304,20,51.53,248.3,14.9,7.56,0.188,89.43,0.452,244,1.586,1,5.5,0.00132
ZnCoatedSteel,20,68.14,401.3,5.43,3.12,0.128,63.63,0.629,65,1.193,1,5.5,0.00544
ZnCoatedSteel,20,25.66,599.9,5.12,2.96,0.123,81.95,0.881,157,0.384,0,6.75,0.03628
ZnCoatedSteel,20,30.1,332.5,2.57,5.77,0.161,61.11,1.426,141,1.492,0,6.11,0.0233
Al6061,20,55.14,453.1,11.14,7.73,0.159,95.98,0.057,156,0.666,0,6.76,0.0065
Al6061,20,63.18,434.4,5.17,3.84,0.164,91.98,0.826,81,1.433,1,6.41,0.00283
LowCarbonSteel,20,69.33,522.3,1.39,4.13,0.175,86.47,0.024,44,0.117,0,6.95,0.0212
LowCarbonSteel,20,63.23,398.9,21.46,6.16,0.123,95.41,0.555,71,2.13,0,6.27,0.02187
ZnCoatedSteel,20,38,307.8,1.09,3.72,0.178,73.84,0.217,87,1.58,0,6.24,0.01814
Brass,20,49.88,352.2,10.77,1.79,0.226,74.25,0.001,292,1.687,0,5.52,0.00654
